Time (ms),Stimulus (%),Trigger,Spikeling Fluorescence,Spikeling Calcium,Spikeling Vm (mV)
0.0,-4.0,0.0,25.77221069319743,19.369874669789667,-95.65
0.1,-4.0,0.0,24.399044649845397,19.504644907075477,-95.65
0.2,-4.0,0.0,24.09861323485941,19.53807871987668,-95.65
0.30000000000000004,-4.0,0.0,24.54231395165328,19.505305379853926,-95.65
0.4,-4.0,0.0,25.58501574260922,19.48149906565718,-95.64
0.5,-4.0,0.0,25.454463255986415,19.560691634993933,-95.64
0.6000000000000001,-4.0,0.0,24.611154694746123,19.600108238680427,-95.64
0.7000000000000001,-4.0,0.0,26.029491609731842,19.597162637294797,-95.64
0.8,-4.0,0.0,25.087417174366262,19.687666263642008,-95.63
0.9,-4.0,0.0,24.614732160552613,19.75919842440567,-95.63
1.0,-4.0,0.0,25.368414445014167,19.790695385794496,-95.63
1.1,-4.0,0.0,23.79546706580259,19.648918409753545,-95.62
1.2000000000000002,-4.0,0.0,24.75056201813976,19.570831935575214,-95.62
1.3,-4.0,0.0,24.874443169481484,19.714798326794533,-95.62
1.4000000000000001,-4.0,0.0,25.503762802263417,19.700026564442105,-95.62
1.5,0.0,0.0,24.82369207993396,19.75864091628475,-95.61
1.6,0.0,0.0,24.92241587963899,19.77966815113874,-95.61
1.7000000000000002,0.0,0.0,24.4001698752501,19.84238424947909,-95.61
1.8,0.0,0.0,23.591269663709852,19.811868228195042,-95.61
1.9000000000000001,0.0,0.0,24.216732775106447,19.723019103272712,-95.61
2.0,0.0,0.0,23.663450420154227,19.699095163816107,-95.6
2.1,0.0,0.0,24.141474445885553,19.77267386079325,-95.6
2.2,0.0,0.0,23.908920104829566,19.80060638606542,-95.59
2.3000000000000003,0.0,0.0,25.26196920838492,19.760660762612012,-95.59
2.4000000000000004,0.0,0.0,23.19390849739192,19.670886721524706,-95.59
2.5,0.0,0.0,23.961890094824046,19.682260026689637,-95.59
2.6,0.0,0.0,26.036206254097277,19.69747380098542,-95.58
