Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-54.9,30.0,54.22,-14.0,51.76,-96.0,0.0
-53.67,30.0,60.66,-6.0,54.21,-95.0,0.0
-52.54,30.0,58.68,3.0,56.44,-96.0,0.0
-51.05,30.0,61.3,16.0,58.86,-96.0,0.0
-49.06,30.0,65.0,-63.0,58.57,-96.0,0.0
-47.29,30.0,60.7,-61.0,58.28,-96.0,0.0
-45.34,30.0,60.41,-58.0,57.98,-96.0,0.0
-42.76,30.0,64.11,-54.0,57.69,-95.0,0.0
-40.24,30.0,59.61,-47.0,57.41,-96.0,0.0
-37.31,30.0,59.32,-39.0,57.12,-96.0,0.0
-33.45,0.0,63.09,-29.0,56.83,-94.0,0.0
-29.16,0.0,58.8,-31.0,56.55,-96.0,0.0
-23.83,0.0,58.51,-34.0,56.27,-96.0,0.0
-16.59,0.0,62.22,-37.0,55.99,-95.0,0.0
-7.34,0.0,57.74,-45.0,55.71,-96.0,0.0
5.64,0.0,57.45,-49.0,55.43,-96.0,0.0
25.39,0.0,61.17,-54.0,55.15,-95.0,0.0
-65.0,0.0,57.09,-58.0,54.87,-96.0,0.0
-64.82,0.0,56.82,-65.0,54.6,-96.0,0.0
-64.36,0.0,59.54,-69.0,54.33,-95.0,0.0
-64.23,0.0,56.26,-74.0,54.06,-96.0,0.0
-64.12,0.0,55.99,-79.0,53.78,-96.0,0.0
-63.61,0.0,59.77,-83.0,53.52,-95.0,0.0
-63.54,0.0,55.49,-86.0,53.25,-96.0,0.0
-63.47,0.0,55.22,-92.0,52.98,-96.0,0.0
-63.13,0.0,57.95,-93.0,52.72,-95.0,0.0
-63.11,0.0,54.68,-93.0,52.45,-96.0,0.0
-63.1,0.0,54.42,-93.0,52.19,-96.0,0.0
-62.83,0.0,56.95,-93.0,51.93,-95.0,0.0
-62.87,0.0,53.69,-93.0,51.67,-96.0,0.0
-62.93,0.0,53.42,-93.0,51.41,-96.0,0.0
-62.71,0.0,56.16,-93.0,51.16,-95.0,0.0
-62.7,0.0,53.9,-93.0,50.9,-96.0,0.0
-62.81,0.0,52.69,-93.0,50.64,-96.0,0.0
-62.63,0.0,55.44,-93.0,50.39,-95.0,0.0
-62.67,0.0,53.18,-93.0,50.14,-96.0,0.0
-62.82,0.0,51.93,-93.0,49.89,-96.0,0.0
-62.78,0.0,53.67,-93.0,49.64,-95.0,0.0
-62.77,0.0,53.42,-93.0,49.39,-95.0,0.0
-62.96,0.0,51.17,-93.0,49.14,-96.0,0.0
-62.88,0.0,53.92,-93.0,48.9,-95.0,0.0
-63.0,0.0,51.67,-93.0,48.65,-96.0,0.0
-63.24,0.0,50.42,-93.0,48.41,-96.0,0.0
-63.2,0.0,53.18,-93.0,48.17,-95.0,0.0
-63.37,0.0,50.93,-93.0,47.93,-96.0,0.0
-63.65,0.0,49.69,-93.0,47.69,-96.0,0.0
-63.62,0.0,52.7,-93.0,47.45,-95.0,0.0
-63.81,0.0,50.46,-93.0,47.21,-95.0,0.0
-64.11,0.0,49.22,-93.0,46.98,-96.0,0.0
-64.11,0.0,51.98,-93.0,46.74,-95.0,0.0
-64.32,0.0,49.94,-93.0,46.51,-96.0,0.0
-64.63,0.0,48.7,-93.0,46.28,-96.0,0.0
-64.65,0.0,51.47,-93.0,46.04,-95.0,0.0
-64.89,0.0,49.23,-93.0,45.81,-95.0,0.0
-65.23,0.0,48.0,-93.0,45.58,-96.0,0.0
-65.39,0.0,49.76,-93.0,45.36,-95.0,0.0
-65.52,0.0,49.79,-93.0,45.13,-95.0,0.0
-65.87,0.0,47.56,-93.0,44.9,-96.0,0.0
-65.92,0.0,50.33,-93.0,44.68,-95.0,0.0
-66.08,0.0,49.1,-93.0,44.46,-95.0,0.0
-66.45,0.0,46.87,-93.0,44.23,-96.0,0.0
-66.55,0.0,49.44,-93.0,44.01,-95.0,0.0
-66.83,0.0,47.42,-93.0,43.79,-96.0,0.0
-67.2,0.0,46.39,-93.0,43.57,-96.0,0.0
-67.26,0.0,49.17,-93.0,43.36,-95.0,0.0
-67.54,0.0,46.94,-93.0,43.14,-95.0,0.0
-67.91,0.0,45.79,-93.0,42.92,-96.0,0.0
-68.0,0.0,48.36,-93.0,42.71,-95.0,0.0
-68.32,0.0,45.94,-93.0,42.5,-96.0,0.0
-68.73,0.0,44.72,-93.0,42.28,-96.0,0.0
-68.74,0.0,48.5,-93.0,42.07,-95.0,0.0
-69.16,0.0,44.29,-93.0,41.86,-96.0,0.0
-69.57,0.0,44.07,-93.0,41.65,-96.0,0.0
-69.69,0.0,46.66,-93.0,41.44,-95.0,0.0
-70.04,0.0,44.24,-93.0,41.24,-96.0,0.0
-70.47,0.0,43.03,-93.0,41.03,-96.0,0.0
-70.59,0.0,45.87,-93.0,40.83,-95.0,0.0
-70.89,0.0,43.87,-93.0,40.62,-96.0,0.0
-71.28,0.0,42.66,-93.0,40.42,-96.0,0.0
-71.35,0.0,45.45,-93.0,40.22,-95.0,0.0
-71.63,0.0,43.25,-93.0,40.01,-96.0,0.0
-72.0,0.0,42.04,-93.0,39.81,-96.0,0.0
-72.06,0.0,44.84,-93.0,39.62,-95.0,0.0
-72.22,0.0,43.64,-93.0,39.42,-95.0,0.0
-72.58,0.0,41.43,-93.0,39.22,-96.0,0.0
-72.62,0.0,44.23,-93.0,39.02,-95.0,0.0
-72.87,0.0,42.03,-93.0,38.83,-96.0,0.0
-73.21,0.0,40.89,-93.0,38.64,-96.0,0.0
-73.14,0.0,44.49,-93.0,38.44,-95.0,0.0
-73.47,0.0,40.5,-93.0,38.25,-96.0,0.0
-73.79,0.0,40.3,-93.0,38.06,-96.0,0.0
-73.66,0.0,44.31,-93.0,37.87,-95.0,0.0
-73.96,0.0,40.11,-93.0,37.68,-96.0,0.0
-74.24,0.0,39.92,-93.0,37.49,-96.0,0.0
-74.1,0.0,43.72,-93.0,37.3,-95.0,0.0
-74.39,0.0,39.53,-93.0,37.12,-96.0,0.0
-74.66,0.0,39.34,-93.0,36.93,-96.0,0.0
-74.51,0.0,43.15,-93.0,36.75,-95.0,0.0
-74.78,0.0,39.02,-93.0,36.56,-96.0,0.0
-75.04,0.0,38.83,-93.0,36.38,-96.0,0.0
-74.9,0.0,42.44,-93.0,36.2,-95.0,0.0
-75.18,0.0,38.25,-93.0,36.02,-96.0,0.0
-75.46,0.0,37.87,-93.0,35.84,-96.0,0.0
-75.33,0.0,41.68,-93.0,35.66,-95.0,0.0
-75.61,0.0,37.5,-93.0,35.48,-96.0,0.0
-75.86,0.0,37.52,-93.0,35.3,-96.0,0.0
-75.69,0.0,41.34,-93.0,35.13,-95.0,0.0
-75.95,0.0,37.16,-93.0,34.95,-96.0,0.0
-76.18,0.0,36.98,-93.0,34.78,-96.0,0.0
-76.0,0.0,40.86,-93.0,34.6,-95.0,0.0
-76.24,0.0,36.68,-93.0,34.43,-96.0,0.0
-76.45,0.0,36.7,-93.0,34.26,-96.0,0.0
-76.22,0.0,40.73,-93.0,34.08,-95.0,0.0
-76.42,0.0,36.55,-93.0,33.91,-96.0,0.0
-76.61,0.0,36.38,-93.0,33.74,-96.0,0.0
-76.39,0.0,40.2,-93.0,33.58,-94.0,0.0
-76.62,0.0,35.83,-93.0,33.41,-96.0,0.0
-76.84,0.0,35.65,-93.0,33.24,-96.0,0.0
-76.64,0.0,39.48,-93.0,33.07,-95.0,0.0
-76.87,0.0,35.31,-93.0,32.91,-96.0,0.0
-77.05,0.0,35.4,-93.0,32.74,-96.0,0.0
-76.82,0.0,39.23,-93.0,32.58,-95.0,0.0
-77.05,0.0,34.86,-93.0,32.42,-96.0,0.0
-77.28,0.0,34.49,-93.0,32.26,-96.0,0.0
-77.08,0.0,38.32,-93.0,32.09,-95.0,0.0
-77.32,0.0,34.16,-93.0,31.93,-96.0,0.0
-77.54,0.0,33.99,-93.0,31.77,-96.0,0.0
-77.34,0.0,37.83,-93.0,31.62,-95.0,0.0
-77.57,0.0,33.67,-93.0,31.46,-96.0,0.0
-77.79,0.0,33.5,-93.0,31.3,-96.0,0.0
-77.57,0.0,37.4,-93.0,31.14,-94.0,0.0
-77.81,0.0,33.03,-93.0,30.99,-96.0,0.0
-78.03,0.0,32.87,-93.0,30.83,-96.0,0.0
-77.83,0.0,36.72,-93.0,30.68,-95.0,0.0
-78.06,0.0,32.56,-93.0,30.53,-96.0,0.0
-78.27,0.0,32.4,-93.0,30.37,-96.0,0.0
-78.06,0.0,36.25,-93.0,30.22,-95.0,0.0
-78.28,0.0,32.09,-93.0,30.07,-96.0,0.0
-78.49,0.0,31.94,-93.0,29.92,-96.0,0.0
-78.27,0.0,35.78,-93.0,29.77,-95.0,0.0
-78.49,0.0,31.63,-93.0,29.62,-96.0,0.0
-78.68,0.0,31.48,-93.0,29.47,-96.0,0.0
-78.55,0.0,34.38,-93.0,29.33,-95.0,0.0
-78.75,0.0,31.23,-93.0,29.18,-96.0,0.0
-78.93,0.0,31.08,-93.0,29.03,-96.0,0.0
-78.69,0.0,34.93,-93.0,28.89,-95.0,0.0
-78.88,0.0,30.78,-93.0,28.74,-96.0,0.0
-79.06,0.0,30.63,-93.0,28.6,-96.0,0.0
-78.82,0.0,34.48,-93.0,28.46,-95.0,0.0
-79.02,0.0,30.34,-93.0,28.31,-96.0,0.0
-79.2,0.0,30.19,-93.0,28.17,-96.0,0.0
-78.96,0.0,34.05,-93.0,28.03,-95.0,0.0
-79.16,0.0,29.9,-93.0,27.89,-96.0,0.0
-79.33,0.0,29.76,-93.0,27.75,-96.0,0.0
-79.09,0.0,33.62,-93.0,27.61,-94.0,0.0
-79.29,0.0,29.52,-92.0,27.48,-96.0,0.0
-79.46,0.0,29.38,-92.0,27.34,-96.0,0.0
-79.21,0.0,33.24,-92.0,27.2,-95.0,0.0
-79.41,0.0,29.1,-92.0,27.07,-96.0,0.0
-79.58,0.0,28.96,-92.0,26.93,-96.0,0.0
-79.34,0.0,32.82,-92.0,26.8,-95.0,0.0
-79.53,0.0,28.68,-92.0,26.66,-96.0,0.0
-79.68,0.0,28.75,-92.0,26.53,-96.0,0.0
-79.42,0.0,32.61,-92.0,26.4,-95.0,0.0
-79.58,0.0,28.68,-92.0,26.26,-96.0,0.0
-79.72,0.0,28.54,-92.0,26.13,-96.0,0.0
-79.45,0.0,32.4,-92.0,26.0,-95.0,0.0
-79.61,0.0,28.33,-92.0,25.87,-96.0,0.0
-79.76,0.0,28.19,-92.0,25.74,-96.0,0.0
-79.59,0.0,31.06,-92.0,25.61,-95.0,0.0
-79.76,0.0,27.92,-92.0,25.49,-96.0,0.0
-79.9,0.0,27.79,-92.0,25.36,-96.0,0.0
-79.63,0.0,31.66,-92.0,25.23,-95.0,0.0
-79.82,0.0,27.32,-92.0,25.11,-96.0,0.0
-79.89,0.0,28.19,-92.0,24.98,-96.0,0.0
-79.76,0.0,30.06,-92.0,24.86,-95.0,0.0
-79.94,0.0,26.93,-92.0,24.73,-96.0,0.0
-80.11,0.0,26.86,-92.0,24.61,-96.0,0.0
-79.95,0.0,29.73,-92.0,24.48,-95.0,0.0
-80.12,0.0,26.6,-92.0,24.36,-96.0,0.0
-80.17,0.0,27.48,-92.0,24.24,-96.0,0.0
-80.02,0.0,29.35,-92.0,24.12,-95.0,0.0
-80.19,0.0,26.23,-92.0,24.0,-96.0,0.0
-80.15,0.0,28.1,-92.0,23.88,-96.0,0.0
-80.01,0.0,28.98,-91.0,23.76,-95.0,0.0
-80.2,0.0,25.85,-91.0,23.64,-96.0,0.0
-80.29,0.0,26.53,-91.0,23.52,-96.0,0.0
-80.27,0.0,27.41,-91.0,23.4,-95.0,0.0
-80.45,0.0,25.29,-91.0,23.29,-96.0,0.0
-80.41,0.0,27.22,-91.0,23.17,-95.0,0.0
-80.38,0.0,27.1,-91.0,23.05,-95.0,0.0
-80.56,0.0,24.98,-91.0,22.94,-96.0,0.0
-80.51,0.0,26.86,-91.0,22.82,-95.0,0.0
-80.58,0.0,25.74,-91.0,22.71,-95.0,0.0
-80.74,0.0,24.62,-91.0,22.6,-96.0,0.0
-80.58,0.0,27.51,-91.0,22.48,-95.0,0.0
-80.75,0.0,24.39,-91.0,22.37,-96.0,0.0
-80.89,0.0,24.27,-91.0,22.26,-96.0,0.0
-80.62,0.0,28.16,-91.0,22.15,-95.0,0.0
-80.79,0.0,24.04,-91.0,22.04,-96.0,0.0
-80.95,0.0,23.93,-91.0,21.93,-96.0,0.0
-80.67,0.0,27.87,-91.0,21.82,-95.0,0.0
-80.82,0.0,23.96,-91.0,21.71,-96.0,0.0
-80.96,0.0,23.84,-91.0,21.6,-96.0,0.0
-80.67,0.0,27.73,-90.0,21.49,-95.0,0.0
-80.83,0.0,23.62,-90.0,21.38,-96.0,0.0
-80.98,0.0,23.51,-90.0,21.28,-96.0,0.0
-80.7,0.0,27.39,-90.0,21.17,-95.0,0.0
-80.87,0.0,23.28,-90.0,21.07,-96.0,0.0
-81.01,0.0,23.17,-90.0,20.96,-96.0,0.0
-80.74,0.0,27.06,-90.0,20.86,-95.0,0.0
-80.91,0.0,22.96,-90.0,20.75,-96.0,0.0
-81.06,0.0,22.9,-90.0,20.65,-96.0,0.0
-80.81,0.0,26.59,-90.0,20.54,-94.0,0.0
-80.99,0.0,22.48,-90.0,20.44,-96.0,0.0
-81.16,0.0,22.38,-90.0,20.34,-96.0,0.0
-80.9,0.0,26.27,-90.0,20.24,-95.0,0.0
-81.08,0.0,22.16,-90.0,20.14,-96.0,0.0
-81.24,0.0,22.06,-90.0,20.04,-96.0,0.0
-80.98,0.0,25.96,-90.0,19.94,-95.0,0.0
-81.16,0.0,21.85,-90.0,19.84,-96.0,0.0
-81.29,0.0,21.95,-90.0,19.74,-96.0,0.0
-81.01,0.0,25.85,-90.0,19.64,-95.0,0.0
-81.17,0.0,21.74,-90.0,19.54,-96.0,0.0
-81.31,0.0,21.7,-90.0,19.44,-96.0,0.0
-81.03,0.0,25.59,-90.0,19.34,-95.0,0.0
